a_max,y_limit,omega_deg,cost_variant,r_sync,success_count,min_range,max_lateral_excursion,total_dv_mean,total_dv_std,constraint_violations_total,qp_failures_total,r_final_mean,r_final_std
0.1,30,1,A,656.5612700023488,10,0.45679415047805727,23.10145244708435,12.358487705709315,1.3404465563161254,2230,226,0.5500027176054683,2.128939042674388e-09
0.1,100,1,A,656.5612700023488,10,0.18852058431707236,56.5113257545707,11.622904880352134,2.943932600963947,9993,1735,0.5500027172290485,2.0559835668050055e-09
0.1,150,1,A,656.5612700023488,10,0.4360690558923322,91.99125171206914,11.381581945064797,0.39421332024147526,12720,2118,0.5500027259897229,2.4570292799665364e-08
0.06,30,1,A,393.9367620014093,10,0.5499427697158092,23.638783801227806,5.727136923507586,1.004447037562338,2362,518,0.5500004917129948,1.0565953985954605e-11
0.06,100,1,A,393.9367620014093,10,0.2837811594221168,67.25082345003626,5.804732566764671,0.24590779127626405,14360,2314,0.5500004917926453,5.31429757222563e-11
0.06,150,1,A,393.9367620014093,10,0.278598295989438,123.47377816490352,6.900793904969054,0.5742579413494812,24442,3380,0.5500004920089469,2.1726719205286904e-10
0.02,30,1,A,131.31225400046978,10,0.0880602161342064,28.36917912748918,2.110988872636116,0.07973365217705282,13837,2231,0.550000038728965,5.2314015978297214e-11
0.02,100,1,A,131.31225400046978,0,86.56978427637229,141.47341330265903,2.3842561732024685,0.03041461607638751,37341,6000,95.11462640575832,8.00701094270266
0.02,150,1,A,131.31225400046978,0,150.0,64.92807652097326,0.844554534503834,0.0003246077526312514,0,520,189.12209148810535,1.9530465655550981
0.1,30,2,A,164.1403175005872,10,0.5499487255209636,24.4714732170049,13.449936357019647,1.2828928838024574,621,104,0.5501111472970683,0.0002883960074238869
0.1,100,2,A,164.1403175005872,10,0.4310621891236135,114.14488651778788,18.724083442293,1.5989811525606268,16013,2130,0.5501160807742129,0.00028687133957654853
0.1,150,2,A,164.1403175005872,0,150.0,173.67135846092577,4.29131013434954,0.005895670209962963,0,520,214.31503204577945,2.8880099007756224
0.06,30,2,A,98.48419050035233,10,0.11223719410033857,30.873677337824564,5.355642644271244,0.6173817225403386,4612,854,0.5500009101244385,9.780302405278954e-15
0.06,100,2,A,98.48419050035233,0,100.0,127.74046874860022,2.612751756177713,0.004073823503405278,5484,520,150.47840246676142,2.953966139840888
0.06,150,2,A,98.48419050035233,0,150.0,203.4472401374598,2.6929659505469328,0.0012111512262963846,0,520,254.50353345717357,2.971436060755086
0.02,30,2,A,32.828063500117445,0,0.038351989844337,57.89369343899339,1.6714164202171407,0.3344362237301162,37430,5951,17.2143019485221,11.645111485547792
0.02,100,2,A,32.828063500117445,0,100.0,161.69566173000337,0.9161755272640706,0.00021636676157629493,0,520,192.53590888106737,3.0278822185699292
